,,,,0,Buff,Build Up,Action,Special,Play,Mount Build,MountAction,ActivateAgro,Suppress,Force in phase to be ## seconds,Max Playback Rate,,,,
ID,name,Description,Notes,Icon,Icon,Animation,Animation,Effect,Animation,Animation,Animation,Animation,Weapon Sounds?,"##=duration, -1=authored rate",Override ,,,,
;,";Misc Career Use, Especially Pets",,]cast,,,,,,,,,,,,,,,,
;,;Squigs,,,,,,,,,,,,,,,,,,
;,;Squig Armor,,,,,,,,,,,,,,,,,,
1,Ard Noggin,ok,,2626,2626,,75,1,1,,,1,,,,,,,
2,Big Claw,looks funy,,2601,2601,,68,2,1,,,1,,,,,,,
3,Bounce,does nothing,,2602,2602,,70,3,1,,,1,,,,,,,
4,,,,2484,2484,,69,4,1,,,1,,,,,,,
5,KABOOM!,ok?,32,2604,2604,,69,5,1,,,1,,,,,,,
6,;/end,,,,,,,6,,,,1,,,,,,,
7,Death From Above,,,2605,2605,,70,7,1,,,1,,,,,,,
8,Spine Fling,,,2610,2610,,69,8,1,,,1,,,,,,,
9,Poisoned Spine,,,2628,2628,,70,9,1,,,1,,,,,,,
10,Gore,,,2607,2607,,68,10,1,,,1,,,,,,,
11,Head Butt,,,2606,2606,,67,11,1,,,1,,,,,,,
12,Goop Shootin',,,2609,2609,,72,12,1,,,1,,0.5,,,,,
13,Spore Cloud,,,2627,2627,,71,13,1,,,1,,0.5,,,,,
14,Gas Squig Autoattack,,,1,1,,72,14,1,,,1,,,,,,,
15,Spiked Squig Autoattack,,,1,1,,72,15,1,,,1,,,,,,,
16,Farty Squig Sub,,,2484,2484,,76,16,1,,,1,,,,,,,
17,Bad Breath Sub,,,2419,2419,,69,17,1,,,1,,,,,,,
18,Squig Squeal,,,2522,2522,,69,18,1,,,1,,,,,,,
19,Git Em!,,,2478,2478,,67,19,1,,,1,,,,,,,
20,Chow Time!,"Pet is stunned (""still eating"") for 2s when initially summoned",,2478,2478,,113,20,1,,,1,,,,,,,
;,;Engineer Pets,,,,,,,;,,,,1,,,,,,,
21,Penetrating Round,,,4506,4506,,67,21,1,,,1,,,,,,,
22,Machine Gun,,,4477,4477,,72,22,1,,,1,,0.5,,,,,
23,Gun Turret GFXMOD Autoattack Override,,,1,1,,32,23,1,,,1,1,,,,,,
24,Cannon Shot,,,4650,4569,,67,24,1,,,1,,,,,,,
25,High-Explosive Grenade,,,4569,4623,,67,25,1,,,1,,,,,,,
26, Bomb Turret GFXMOD Autoattack Override,,,1,1,,32,26,1,,,1,1,,,,,,
27,Flamethrower,,,4455,4455,,67,27,1,,,1,,,,,,,
28,Steam Vent,,,4618,4618,,71,28,1,,,1,,0.5,,,,,
29,Flame Turret GFXMOD Autoattack Override,,,1,1,,32,29,1,,,1,1,,,,,,
30,Arming,,,4612,4612,,48,30,1,,,1,,,,,,,
31,Detonation,,,4612,4612,,32,31,1,,,1,,,,,,,
32,,,,,,,23,32,1,,,1,,,,,,,
33,"TEST MOUNT Icon, can delete",,,0,0,,32,33,1,,,1,,,,,,,
;,;White Lion Pets,,,,,,99,;,1,,,1,,,,,,,
34,Bite,,,13448,13448,,67,34,1,,,1,,,,,,,
35,Claw Sweep,,,13449,13449,,68,35,1,,,1,,,,,,,
36,Terrifying Roar,,,13450,13450,,76,36,1,,,1,,,,,,,
37,Lion's Roar,,,13451,13451,,69,37,1,,,1,,,,,,,
38,Shred,,,13452,13452,,68,38,1,,,1,,,,,,,
39,Leg Tear,,,13453,13453,,77,39,1,,,1,,,,,,,
40,Fang And Claw,,,13454,13454,,71,40,1,,,1,,0.5,,,,,
41,Maul,,,13455,13455,,77,41,1,,,1,,,,,,,
42,Gut Ripper ,,,13456,13456,,70,42,1,,,1,,,,,,,
43,,,,,,,99,43,1,,,1,,,,,,,
;,;WHITE LION PETS CONTINUE AT 460,,,,,,,,,,,1,,,,,,,
;,;Magus Pets,,,,,,99,;,1,,,1,,,,,,,
44,Demonic Fire,,,5273,5273,,72,44,1,,,1,,0.5,,,,,
45,Demonic Consumption,,,5274,5274,,69,45,1,,,1,,,,,,,
46,Warping Energy,,,5277,5277,,69,46,1,,,1,,,,,,,
47,Courscating energy,,,5278,5278,,69,47,1,,,1,,,,,,,
48,Flame Of Tzeentch,,,5281,5281,,75,48,1,,,1,,,,,,,
49,Flames Of Change,,,5282,5282,,69,49,1,,,1,,,,,,,
;,;MAGUS PETS CONTINUE AT 430,,,,,,,,,,,1,,,,,,,
;,;/end Pet section,,,,,,99,;,1,,,1,,,,,,,
;,;Archetype Stuff,,,,,,99,;,1,,,1,,,,,,,
;,;Archetype Tactics,,,,,,99,;,1,,,1,,,,,,,
;,;Tank Tactics,,,,,,99,;,1,,,1,,,,,,,
50,Focused Offense,,,22701,22701,,32,50,1,,,0,,,,,,,
51,Weapon Mastery,,,147,147,,32,51,1,,,0,,,,,,,
52,Sturdy Defender,,,147,147,,32,52,1,,,0,,,,,,,
53,Rugged,,,22702,22702,,32,53,1,,,0,,,,,,,
54,Menace,,,22709,22709,,32,54,1,,,0,,,,,,,
55,Unstoppable Juggernaut,,,22694,22694,,32,55,1,,,0,,,,,,,
56,Going For Broke,,,147,147,,32,56,1,,,0,,,,,,,
57,Cheap Kick,,,147,147,,32,57,1,,,0,,,,,,,
58,Shield Spikes,,,147,147,,32,58,1,,,0,,,,,,,
59,,,,,,,99,59,1,,,1,,,,,,,
60,,,,,,,99,60,1,,,1,,,,,,,
61,Demonic Fire,,,5273,5273,,0,61,1,,,1,1,,,,,,
62,Demonic Consumption,,,5274,5274,,0,62,1,,,1,1,,,,,,
63,Warping Energy,,,5277,5277,,0,63,1,,,1,1,,,,,,
64,Courscating energy,,,5278,5278,,0,64,1,,,1,1,,,,,,
65,Flame Of Tzeentch,,,5281,5281,,0,65,1,,,1,1,,,,,,
66,Flames Of Change,,,5282,5282,,0,66,1,,,1,1,,,,,,
67,QA TEST,,,2456,2456,,68,67,1,,,1,,,,,,,
68,RVR Chicken Debuff,This is the icon for the RvR debuff,,2490,2490,,99,68,1,,,1,,,,,,,
69,Sprint (All Careers),Speed boost to run,,5004,5004,,69,69,1,,,1,1,,,,,,
;,;Melee DPS Tactics,,,,,,99,;,1,,,1,,,,,,,
70,Brute Force,,,22701,22701,,32,70,1,,,0,,,,,,,
71,Weapon Expertise,,,147,147,,32,71,1,,,0,,,,,,,
72,Flanking,,,22704,22704,,32,72,1,,,0,,,,,,,
73,Invigoration,,,147,147,,32,73,1,,,0,,,,,,,
74,Pay No Mind,,,147,147,,32,74,1,,,0,,,,,,,
75,Jagged Edge,,,22694,22694,,32,75,1,,,0,,,,,,,
76,Toughen Up!,,,147,147,,32,76,1,,,0,,,,,,,
77,Riposte,,,22702,22702,,32,77,1,,,0,,,,,,,
78,Dirty Trick,,,147,147,,32,78,1,,,0,,,,,,,
79,,,,,,,99,79,1,,,1,,,,,,,
;,;Pet ability queuing shells,,,,,,,,,,,,,,,,,,
80,Penetrating Round,,,4506,4506,,0,80,1,,,1,1,,,,,,
81,Machine Gun,,,4477,4477,,0,81,1,,,1,1,,,,,,
82,Shock Grenade,,,4650,4569,,0,82,1,,,1,1,,,,,,
83,High-Explosive Grenade,,,4569,4623,,0,83,1,,,1,1,,,,,,
84,Flamethrower,,,4455,4455,,0,84,1,,,1,1,,,,,,
85,Steam Vent,,,4618,4618,,0,85,1,,,1,1,,,,,,
86,,,,,,,99,86,1,,,1,,,,,,,
87,Charge,,,5313,5313,,69,87,1,,,1,1,,,,,,
88,Death Effect Icon,This is the icon for the Death Effect debuff,,2490,2490,,32,88,1,,,1,,,,,,,
89,Monster Knockdown on Knockback VFXs,,,4478,4478,,32,89,1,,,1,,,,,,,
;,;Ranged DPS Tactics - Bow,,,,,,99,;,1,,,1,,,,,,,
90,Steady Aim,,,22697,22697,,32,90,1,,,0,,,,,,,
91,Swift Reflexes,,,147,147,,32,91,1,,,0,,,,,,,
92,Expert Skirmisher,,,22694,22694,,32,92,1,,,0,,,,,,,
93,Quick Reload,,,147,147,,32,93,1,,,0,,,,,,,
94,Keep Your Distance,,,147,147,,32,94,1,,,0,,,,,,,
95,Thigh Shot,,,147,147,,32,95,1,,,0,,,,,,,
96,I'll Take You On!,,,147,147,,32,96,1,,,0,,,,,,,
97,Clever Recovery,,,22698,22698,,32,97,1,,,0,,,,,,,
98,Pierce Defenses,,,22709,22709,,32,98,1,,,0,,,,,,,
99,,,,,,,99,99,1,,,1,,,,,,,
100,,,,,,,99,100,1,,,1,,,,,,,
101,,,,,,,99,101,1,,,1,,,,,,,
102,,,,,,,99,102,1,,,1,,,,,,,
103,,,,,,,99,103,1,,,1,,,,,,,
104,Immovable,,,5007,5007,,99,104,1,,,1,,,,,,,
105,Unstoppable,,,5006,5006,,99,105,1,,,1,,,,,,,
106,Taunt VFX Dummy,,,147,147,,99,106,1,,,1,,,,,,,
107,Juggernaut,For all heavy tank careers,,22257,22257,,70,107,1,,,1,,,,,,,
108,Push The Line!,For all heavy tank careers,,22274,22274,,75,108,1,,,1,,,,,,,
109,Book Of Binding,,,327,327,,222,109,1,,,0,,-1,,,,,
;,;Ranged DPS Tactics - Magic,,,,,,99,;,1,,,1,,,,,,,
