Effect,Effect,Effect,Effect,Effect,Effect,Track,Track,Track,unused,Projectile,Camera,Root,Projectile,Turn Off,Always,Draw,Realm,Persist,,,,,,,,,,
ID,Name,NIF,Node,Duration,Rate,translation,Rotation,Scale,,Id,Shake ID,Node,Origin,While Sheathed?,Play Effect,Last,Visibility,After Death,,,,,,,,,,
;,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
; State Effects,,,;,0,,,,,,,,,,,,,,,,,,,,,,,,
300,Quest off,101,root,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
301,Quest on,102,root,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
302,Quest complete off,103,root,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
303,Quest complete on,104,root,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
304,Influence Quest Rewards Avail,183,root,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
354,ICON_Quest_Bomb,328,fx_Head_top_NA,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
,,,;,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,;,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,;,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,;,0,,,,,,,,,,,,,,,,,,,,,,,,
1,standard bloodsplat hit ,27,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
2,spark hit ,25,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
3,flash hit with spiky bits ,25,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
4,Waagh Shout,19,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
5,Big Heal,31,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
6,Defense Bubble,32,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
7,Feel Betta,34,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
8,Gash,35,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
9,Lil Heal,36,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
10,Med Heal,37,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
11,Pierce,47,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
12,Power Chop,48,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
13,Quick Cut,49,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
14,Severing Slash,50,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
15,Spell Stoppa,51,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
16,Stance of Biggun,46,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
17,Big Brains,38,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
18,Get Up,45,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
19,Burning Waagh,39,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
20,Cast Life FINISH,42,bip01,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
21,Casting Shadow LOOP,44,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
22,Casting Heaven LOOP,43,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
23,Cast Dark LOOP,40,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
24,BUFF_LOOP_BladeEnchant_EliteTraining,2771,spell,-1,100,1,1,1,,,,,,,,,,,,,,,,,,,,
25,Muzzle Fire,33,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
26,Blood Pierce,20,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
27,Spikes Flash,25,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
28,Medium Explosion,22,root,0,100,0,0,1,,,,,,,,,,,,,,,,,,,,
29,Beer Pour,59,root,5000,100,1,0,0,,,,,,,,,,,,,,,,,,,,
30,orc Waagh spell projectile(flies Striaght),99,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
31,test,32,fx_chest,10000,100,1,0,0,,,,,,,,,,,,,,,,,,,,
32,T1 Good Heal,7,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
33,T2 Good Heal,8,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
34,T3 Good Heal,9,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
35,T4 Good Heal,10,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
36,T1 Quick Heal,11,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
37,T2 Quick Heal,12,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
38,T3 Quick Heal,13,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
39,T4 Quick Heal,14,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
40,Hit Slash 1,72,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
41,Hit Slash 2,73,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
42,Hit Slash 3,74,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
43,Hit Slash 4,75,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
44,Hit Pierce 1,68,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
45,Hit Pierce 2,69,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
46,Hit Pierce 3,70,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
47,Hit Pierce 4,71,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
48,Impact Red,91,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
49,Impact Orange,92,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
50,Impact Arrow,93,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
51,Hit Crush 1,64,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
52,Hit Crush 2,65,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
53,Hit Crush 3,66,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
54,Hit Crush 4,67,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
55,Stun,18,fx_Head,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
