Effect List,Effect List,Effect,Effect,Effect,Effect,Effect,Effect,Effect,Effect,,,,,
ID,Name,ID 1,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,,,,,
; State Effects,,,,,,,,,,,,,,
1000,Target,0,,,,,,,,,,,,
1001,Quest Offer On,300,,,,,,,,,,,,
1002,Quest Offer Off                       ICON_NPC_Quest_Avail,2234,,,,,,,,,,,,
1003,Quest Complete off             ICON_NPC_Quest_Inactive,2236,,,,,,,,,,,,
1004,Quest Complete on           ICON_NPC_Quest_Complete,2235,,,,,,,,,,,,
1005,Berserk Start,215,,,,,,,,,,,,
1006,Berserk Level 1,255,176,,,,,,,,,,,
1007,Berserk Level 2,246,247,,,,,,,,,,,
1008,Berserk Level 3,261,,,,,,,,,,,,
1009,Waagh Start,216,,,,,,,,,,,,
1010,Waagh 1 Orc,256,,,,,,,,,,,,
1011,Waagh 1 Goblin,256,,,,,,,,,,,,
1012,Waagh 2 Orc,254,,,,,,,,,,,,
1013,Waagh 2 Goblin,257,,,,,,,,,,,,
1014,Grudge Applied,263,,,,,,,,,,,,
1015,Grudge Persistant,262,,,,,,,,,,,,
1016,Quest Complete on           ICON_NPC_Quest_Complete,2235,,,,,,,,,,,,
1017,ICON_Quest_Bomb,354,,,,,,,,,,,,
1018,ICON_Armor                      ICON_NPC_Trainer_Active,2237,,,,,,,,,,,,
1019,ICON_gold                                ICON_NPC_Merchant,2239,,,,,,,,,,,,
1020,ICON_influence                    ICON_NPC_PQ_Rewards,2241,,,,,,,,,,,,
1021,ICON_kill_collect,635,,,,,,,,,,,,
1022,ICON_Travel_Chaos,636,,,,,,,,,,,,
1023,ICON_Travel_Order,637,,,,,,,,,,,,
1024,ICON_Weapon,638,,,,,,,,,,,,
1438,UI_TargetingArrow_Blue,1379,,,,,,,,,,,,
1439,UI_TargetingArrow_Green,1380,,,,,,,,,,,,
1440,UI_TargetingArrow_Red,1381,,,,,,,,,,,,
1441,UI_TargetingArrow_Yellow,1382,,,,,,,,,,,,
1472,UI_TargetingArrow_Grey,1416,,,,,,,,,,,,
1627,UI_MarkingIcon_Gauntlet,1578,,,,,,,,,,,,
1628,UI_MarkingIcon_Moon,1579,,,,,,,,,,,,
1629,UI_MarkingIcon_Shield,1580,,,,,,,,,,,,
1630,UI_MarkingIcon_Skull,1581,,,,,,,,,,,,
1631,UI_MarkingIcon_Sun,1582,,,,,,,,,,,,
1632,UI_MarkingIcon_Sword,1583,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
1,standard bloodsplat hit ,1,,,,,,,,,,,,
2,spark hit ,2,,,,,,,,,,,,
3,flash hit with spiky bits ,3,,,,,,,,,,,,
4,NULL,0,,,,,,,,,,,,
5,Big Heal,5,,,,,,,,,,,,
6,Green skin ZAP,2,94,,,,,,,,,,,
7,Feel Betta,7,,,,,,,,,,,,
8,Gash,8,,,,,,,,,,,,
9,Lil Heal,9,,,,,,,,,,,,
10,Med Heal,10,,,,,,,,,,,,
11,Pierce,11,,,,,,,,,,,,
;,12 MOR_EM_AOE_SolarFlare,,,,,,,,,,,,,
13,Quick Cut,13,,,,,,,,,,,,
14,Severing Slash,14,,,,,,,,,,,,
;,15 MOR_EM_AOE_SolarFlare,,,,,,,,,,,,,
16,Stance of Biggun,16,,,,,,,,,,,,
;,17 MOR_EM_IMPACT_SolarFlare,,,,,,,,,,,,,
18,Get Up,18,,,,,,,,,,,,
19,Burning Waagh,19,,,,,,,,,,,,
20,Cast Life FINISH,20,,,,,,,,,,,,
21,Casting Shadow LOOP,21,,,,,,,,,,,,
22,Casting Heaven LOOP,22,,,,,,,,,,,,
23,Cast Dark LOOP,23,,,,,,,,,,,,
;,24 BUFF_LOOP_BladeEnchant_EliteTraining,,,,,,,,,,,,,
25,Muzzle Fire,25,,,,,,,,,,,,
26,26,26,,,,,,,,,,,,
27,Spikes Flash,238,2,,,,,,,,,,,
28,Medium Explosion,28,,,,,,,,,,,,
29,Beer Pour,29,,,,,,,,,,,,
30,Orc Shaman Rez,18,86,,,,,,,,,,,
31,"Rez , Genaric",18,,,,,,,,,,,,
32,orc Waagh spell projectile(flies Striaght),30,,,,,,,,,,,,
33,T2 Good Heal,33,,,,,,,,,,,,
34,T3 Good Heal,34,,,,,,,,,,,,
35,T4 Good Heal,35,,,,,,,,,,,,
36,T1 Quick Heal,36,,,,,,,,,,,,
37,T2 Quick Heal,37,,,,,,,,,,,,
38,T3 Quick Heal,38,,,,,,,,,,,,
39,T4 Quick Heal,39,,,,,,,,,,,,
;,40 IMPACT_DE_ChokingFury,,,,,,,,,,,,,
;,41 DEBUF_DE_ChokingFury,,,,,,,,,,,,,
42,Big Hit flash with extra flash bit,110,2,,,,,,,,,,,
43,vfx_Weapontrail_redBerserk,176,,,,,,,,,,,,
44,vfx_Weapontrail_purple,175,,,,,,,,,,,,
45,Hit Pierce 2,45,,,,,,,,,,,,
46,Hit Pierce 3,46,,,,,,,,,,,,
47,Standard gun impact,48,82,,,,,,,,,,,
48,Impact Red,48,26,,,,,,,,,,,
49,Impact Orange,49,,,,,,,,,,,,
50,Impact Red,50,26,,,,,,,,,,,
51,Hit Crush 1,51,,,,,,,,,,,,
52,Hit Crush 2,52,,,,,,,,,,,,
53,Hit Crush 3,53,,,,,,,,,,,,
54,Hit Crush 4,54,,,,,,,,,,,,
55,Stun,55,,,,,,,,,,,,
56,green,56,70,71,,,,,,,,,,
57,Orc Cast Loop 3,57,,,,,,,,,,,,
58,Orc Cast Loop Healing,58,,,,,,,,,,,,
59,(Name Change)Remove curse or remove poison,59,,,,,,,,,,,,
60,Generic Heal 1,60,,,,,,,,,,,,
61,Generic Heal 2,61,,,,,,,,,,,,
62,Generic Heal 3,62,,,,,,,,,,,,
63,Generic Heal 4,63,,,,,,,,,,,,
64,generic buff 1,64,,,,,,,,,,,,
65,generic buff 2,65,,,,,,,,,,,,
66,generic buff 3,66,,,,,,,,,,,,
67,generic buff 4,67,,,,,,,,,,,,
;,68 BUFF_DE_BolsteringAnger,,,,,,,,,,,,,
69,Portrait Hit effect,69,,,,,,,,,,,,
;,70 AOE_EM_Staggering,,,,,,,,,,,,,
;,71 CAE_EM_HeavensFury,,,,,,,,,,,,,
72,Spike Flash w/ Slash hit,27,109,,,,,,,,,,,
73,IronBreaker Morale cast,133,74,,,,,,,,,,,
74,ground effect for moral cast,74,,,,,,,,,,,,
75,engineer Moral cast,132,74,,,,,,,,,,,
76, engineer doulbe rifle shot,78,77,,,,,,,,,,,
;,77Impact_EM_Unbalancing,,,,,,,,,,,,,
78,muzzel flash for rifle firing,78,,,,,,,,,,,,
79,Action point debuff,79,,,,,,,,,,,,
80,Standard debuff,80,,,,,,,,,,,,
81,Morale debuff,81,,,,,,,,,,,,
;,82 Impact_EM_MyrFury,,,,,,,,,,,,,
83,poison debuff,83,,,,,,,,,,,,
84,cannon ball morale spell,84,,,,,,,,,,,,
85,magic orc fist pound the ground,85,,,,,,,,,,,,
86,Floating gork head for morale,86,,,,,,,,,,,,
87,Casting green glow for hands,87,,,,,,,,,,,,
88,Black Orc 1 Morale 1,88,,,,,,,,,,,,
89,Black Orc 1 Morale 2,88,,,,,,,,,,,,
90,Black Orc 1 Morale 3,88,,,,,,,,,,,,
91,Big Gun impact on orc,82,,,,,,,,,,,,
92,orc staff cast,72,,,,,,,,,,,,
93,orc Waagh spell projectile,93,,,,,,,,,,,,
94,orc waagh spell projectile impact,94,,,,,,,,,,,,
;,95 AOE_EM_KnightRoot,,,,,,,,,,,,,
96,Blue AOE rings morale buff,96,,,,,,,,,,,,
97,"dwarf Defence buff, magic shields",97,64,,,,,,,,,,,
98,Green heal smoke for granade,98,,,,,,,,,,,,
99,Arrow Projectile,99,,,,,,,,,,,,
100,Morale arrow barrage,91,,,,,,,,,,,,
;,101 ROOT_EM_KnightRoot,,,,,,,,,,,,,
102,dwarf Morale Damage PBAOE,89,,,,,,,,,,,,
103,dwarf Morale Stun PBAOE,90,,,,,,,,,,,,
104,Yellow AOE ring,100,,,,,,,,,,,,
105,Dark AOE cloud,101,,,,,,,,,,,,
106,Blue morale build up 1,102,,,,,,,,,,,,
107,Blue morale build up 2,103,,,,,,,,,,,,
108,Blue morale build up 3,104,,,,,,,,,,,,
109,Blue morale build up 4,105,,,,,,,,,,,,
110,dwarf grenade projectile,106,,,,,,,,,,,,
111,Generic armor/defence Debuff,107,,,,,,,,,,,,
112,vfx_EART_Impact,108,,,,,,,,,,,,
113,IMPACT_AutoAttack,109,,,,,,,,,,,,
114,Hit Flash with dirt impact,110,,,,,,,,,,,,
115,Hit Flash with blood,111,,,,,,,,,,,,
116,Slash With Blood trail,112,,,,,,,,,,,,
117,Green Impact w/falling trails,113,,,,,,,,,,,,
118,Lingering debuff,114,,,,,,,,,,,,
119,Lingering debuff Start,115,2,,,,,,,,,,,
120,Green AOE wave,116,,,,,,,,,,,,
121,Dark  cloud for blind,117,,,,,,,,,,,,
122,Light in eyes and sparkles /Blind,118,,,,,,,,,,,,
123,Melee hit Debuff Impact,119,,,,,,,,,,,,
124,Morale Stomp melee orc,108,88,,,,,,,,,,,
125,Spikey Warrior Build up,120,,,,,,,,,,,,
126,Melee hit with AP debuff,27,79,,,,,,,,,,,
127,Flaming Arrow Projectile,121,,,,,,,,,,,,
128,Magic arrow Projectile,122,,,,,,,,,,,,
129,Flame arrow Impact,123,,,,,,,,,,,,
130,Magic arrow impact,124,,,,,,,,,,,,
131,Orc shaman Morale Build up,88,70,71,,,,,,,,,,
;,132 AOE_EM_RedAura,,,,,,,,,,,,,
133,Projectile for life drain,125,,,,,,,,,,,,
134,Build for life drain,126,,,,,,,,,,,,
;,135 AOE_EM_GoldAura,,,,,,,,,,,,,
136,Waaagh Root,127,,,,,,,,,,,,
137,Waagh Slow (mushrooms),128,,,,,,,,,,,,
;,138 AOE_EM_BlueAura,,,,,,,,,,,,,
139,vfx_RUNE_FlashRingBreaking_orn,130,,,,,,,,,,,,
