NIF,NIF,NIF,Type,,,,,,
ID,Description,Filename,EFX System,,,,,,
1,***Empty***,empty,0,,,,,,
2,Orc Cast Aura Loop,vfx_orc_CastAuraLoop,0,,,,,,
3,Orc Cast Finish Staff,vfx_Cast_GS_Staff,0,,,,,,
4,Orc Cast Loop Tier 2,vfx_orc_CastingLoop_L1,0,,,,,,
5,Orc Cast Loop Tier 3,vfx_orc_CastingLoop_L2,0,,,,,,
6,Orc Cast Loop Healing,vfx_orc_CastingLoop_Heals,0,,,,,,
7,Orc Good Heal Tier 1,vfx_orc_T1_GoodHeal,0,,,,,,
8,Orc Good Heal Tier 2,vfx_orc_T2_GoodHeal,0,,,,,,
9,Orc Good Heal Tier 3,vfx_orc_T3_GoodHeal,0,,,,,,
10,Orc Good Heal Tier 4,vfx_orc_T4_GoodHeal,0,,,,,,
11,Orc Quick heal Tier 1,vfx_orc_T1_QuickHealing,0,,,,,,
12,Orc Quick heal Tier 2,vfx_orc_T2_QuickHealing,0,,,,,,
13,Orc Quick heal Tier 3,vfx_orc_T3_QuickHealing,0,,,,,,
14,Orc Quick heal Tier 4,vfx_orc_T4_QuickHealing,0,,,,,,
15,Debuff 1,vfx_SPELL_Debuff1,0,,,,,,
16,Orc Defense Buff,vfx_SPELL_orc_DefenseBuff,0,,,,,,
17,Orc Moral,vfx_SPELL_orc_Moral,0,,,,,,
18,Stat Stun,vfx_STAT_Stun,0,,,,,,
19,WAAAGH Symbol,vfx_SYMB_Waagh,0,,,,,,
20,Blood pierce,vfx_TEMP_BloodPierce_Hit,0,,,,,,
21,Dwarf Generic Buildup,vfx_TEMP_DwGenericBuildup,0,,,,,,
22,Explosion Medium,VFX_TEMP_ExploMed,0,,,,,,
23,Generic Debuff,vfx_TEMP_GenericDebuff1,0,,,,,,
24,Red Select Circle,vfx_TEMP_SelectionCircleRed,0,,,,,,
25,Spikes Flash Hit,vfx_TEMP_SpikesFlash_Hit,0,,,,,,
26,Targeting HP Bat,vfx_TEMP_TargetingHPbar,0,,,,,,
27,Blood Splat Red,vfx_WOUN_BloodSplatRed_Hit,0,,,,,,
28,Arrow,ARROW,0,,,,,,
29,Arrow,Cog_Sav1_ARROW,0,,,,,,
30,CRE Raven effect,CRE_raven_EFX,0,,,,,,
31,Big Heal,Test_BigHeal_2.5,0,,,,,,
32,Defense Bubble,Test_DefenseBubble_6.67LOOP,1,,,,,,
33,Dwarf Muzzle Flash,Test_dwf_PYRO_MuzzleFire_2.80,0,,,,,,
34,Feel Betta,Test_FeelBetta_3,0,,,,,,
35,Gash,Test_Gash_1.10,0,,,,,,
36,Lil heal,Test_LilHeal_2.5,0,,,,,,
37,Orc Medium Heal,Test_MediumHeal_Orc_2.5,0,,,,,,
38,Orc Big Brains,Test_orc_BigBrains_2.8,0,,,,,,
39,Orc Burning Waagh,Test_orc_Burning Waagh_3.33,0,,,,,,
40,Orc Cast Dark Loop,Test_orc_Cast_Dark_Loop,0,,,,,,
41,Orc Cast Life Loop,Test_orc_Cast_Life_Loop,0,,,,,,
42,Orc Cast Life Finish,Test_orc_CastFinish_Life_1.60,0,,,,,,
43,Orc Cast Heaven Loop,Test_orc_CastingHeaven_Loop,0,,,,,,
44,Orc Casting Shadow Loop,Test_orc_CastingShadow_Loop,0,,,,,,
45,Orc Get Up,Test_orc_Get up_2.00,0,,,,,,
46,Orc Stance of Da Biggun,Test_orc_StanceofBiggun_2.00,0,,,,,,
47,Test Pierce,Test_Pierce_1,0,,,,,,
48,Power Chop,vfx_ATK_PowerChop,0,,,,,,
49,Test Quick Cut,Test_QuickCut_1.333,0,,,,,,
50,Test Severing Slash,Test_SeveringSlash_1.6,0,,,,,,
51,Test Spell Stoppa,Test_SpellStoppa_1.50,0,,,,,,
52,Test Targeting Arrow,Test_TargetingArrow,0,,,,,,
53,Buff Generic 1,vfx_BUFF_Generic1_Hit,0,,,,,,
54,Buff Generic 2,vfx_BUFF_Generic2_Hit,0,,,,,,
55,Buff Generic 3,vfx_BUFF_Generic3_Hit,0,,,,,,
56,Buff Generic 4,vfx_BUFF_Generic4_Hit,0,,,,,,
57,Damage Flash Hit,vfx_DAMG_Flash_Hit,0,,,,,,
58,Debuff Hit Generic 1,vfx_DBUF_Generic1_Hit,0,,,,,,
59,Dwarf Beer Pour,VFX_DW_BeerPourSpectral,0,,,,,,
60,Heal Generic 1,vfx_HEAL_Generic1_Hit,0,,,,,,
61,Heal Generic 2,vfx_HEAL_Generic2_Hit,0,,,,,,
62,Heal Generic 3,vfx_HEAL_Generic3_Hit,0,,,,,,
63,Heal Generic 4,vfx_HEAL_Generic4_Hit,0,,,,,,
64,Hit Crush Tier 1,vfx_HIT_Crush_T1,0,,,,,,
65,Hit Crush Tier 2,vfx_HIT_Crush_T2,0,,,,,,
66,Hit Crush Tier 3,vfx_HIT_Crush_T3,0,,,,,,
67,Hit Crush Tier 4,vfx_HIT_Crush_T4,0,,,,,,
68,Hit Pierce Tier 1,vfx_HIT_PierceAttack_T1,0,,,,,,
69,Hit Pierce Tier 2,vfx_HIT_PierceAttack_T2,0,,,,,,
70,Hit Pierce Tier 3,vfx_HIT_PierceAttack_T3,0,,,,,,
71,vfx_Weapontrail_purple,vfx_Weapontrail_purple,2,,,,,,
72,vfx_Weapontrail_White,vfx_Weapontrail_White,2,,,,,,
73,vfx_Weapontrail_yellow,vfx_Weapontrail_yellow,2,,,,,,
74,vfx_Weapontrail_red,vfx_Weapontrail_red,2,,,,,,
75,vfx_Weapontrail_redBerserk,vfx_Weapontrail_redBerserk,2,,,,,,
76,IronBreaker Morale cast,vfx_SYMB_IrnMorale1,0,,,,,,
77,ground effect for moral cast,vfx_OPTI_GroundStrike1_blu,0,,,,,,
78,engineer Moral cast,vfx_SYMB_EngMorale1,0,,,,,,
79,Breech flash for gun fireing,vfx_PYRO_PanFlash,0,,,,,,
80,muzzel flash for pistol firing,vfx_PYRO_PistolFlash,0,,,,,,
81,muzzel flash for rifle firing,vfx_PYRO_RifleFlash,0,,,,,,
82,Action point debuff,vfx_SPELL_APDebuff,0,,,,,,
83,Standard debuff,vfx_SPELL_Debuff1,0,,,,,,
84,Morale debuff,vfx_SPELL_MoralDebuff,0,,,,,,
85,Gun impact on Orc,vfx_WOUN_OrcGun_Hit,0,,,,,,
86,poison debuff,vfx_DBUFF_Poison,0,,,,,,
87,cannon ball morale spell,vfx_dwf_CannonBarrage,0,,,,,,
88,magic orc fist pound the ground,vfx_orc_HandofGork_Hands,0,,,,,,
89,Floating gork head for morale,vfx_orc_HandofGork_Head,0,,,,,,
90,Casting green glow for hands,vfx_orc_HandCasting,1,,,,,,
91,Impact Red,vfx_IMPACT_Standard_Red,0,,,,,,
92,Impact Orange,vfx_IMPACT_Standard_Orange,0,,,,,,
93,Impact Arrow,vfx_IMPACT_Arrow1,0,,,,,,
94,UI Chaos Selection Circle,vfx_UI_SelectionCircleChaos,0,,,,,,
95,dwarf Morale Damage PBAOE,vfx_WOUN_SpineFlash,0,,,,,,
96,dwarf Morale Stun PBAOE,vfx_WOUN_HemiWaves,0,,,,,,
97,Morale arrow barrage,vfx_orc_ArrowBarrage,0,,,,,,
98,morale arrow root,vfx_orc_ArrowRoot,0,,,,,,
99,orc Waagh spell projectile,vfx_orc_WaaghProjectile,0,,,,,,
100,Current Target,Test_TargetingArrow,0,,,,,,
101,Quest off,vfx_ICON_QuestGrey,0,,,,,,
