Effect Id,Vfx Id,Type,Id,Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;Squig Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,"Buff on pet, reduces threat on next attack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,0,0,Snare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,0,2795,Wave Ground dust ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,1,54,Knockdown Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,0,2797,KABOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,30,0,2254,QA TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;Squig Herder Pet use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,1,54,Knockdown Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0,0,Channel Projecticle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,0,0,Crit chance reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,1,54,Knockdown Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,0,2254,Center impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,0,2255,Center impact for gas cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,0,2206,Squig Go Boom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,0,2214,Impact From Squig Go Boom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,0,577,AE Taunt effect on caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7,0,576,Taunt effects on victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0,2791,Primary hit from Squig on their target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7,0,2791,Secondary hit from Squig on player's target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,1,113,"Squig ""eating"" anim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;Engineer Pet use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,0,0,Bigger hit than normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,0,2275,Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,0,322,Impact from AE explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,0,2194,Flamethrower-style fire jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9,0,2180,Steam venting from turret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7,0,2179,Impact on enemy from steam vent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,0,3234,Stagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,0,562,Knockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,1,54,Knockdown anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,0,592,Land Mine exploding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,0,2175,Heal on nearby allies from keg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,0,2176,AE healing from Keg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;White Lion Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0,577,AE Taunt effect on caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,0,576,Taunt effects on victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7,0,983,Armor debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7,0,1613,Snare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
