i,icon,type,slot
1,4111,NONE,BODY
2,0,ASHLD,LEFT
3,0,SWORD,RGHT
4,2486,SWORD,EITHER
5,2488,SWORD,RGHT
6,0,ASHLD,LEFT
7,0,HAMMER,EITHER
8,359,NONE,NONE
9,20,NONE,NONE
10,1149,NONE,LEFT
11,110,NONE,NONE
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,396,NONE,NONE
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,2131,LIGARMOR,HELM
50,1016,NONE,RGHT
51,1022,NONE,RGHT
52,1066,NONE,RGHT
53,1067,NONE,RGHT
54,1004,NONE,RGHT
55,1006,NONE,RGHT
56,1080,NONE,RGHT
57,1085,NONE,RGHT
58,1031,NONE,RGHT
59,1034,NONE,RGHT
60,1055,NONE,RGHT
61,1062,NONE,RGHT
62,1094,NONE,RGHT
63,1101,NONE,RGHT
64,1040,NONE,RGHT
65,1041,NONE,RGHT
66,1075,BOW,RANGE
67,1004,NONE,LEFT
68,1006,NONE,LEFT
69,1031,NONE,LEFT
70,1034,NONE,LEFT
71,1016,NONE,LEFT
72,1022,NONE,LEFT
73,1121,NONE,LEFT
74,1124,NONE,LEFT
75,2246,NONE,BELT
76,2247,NONE,BODY
77,2248,NONE,BOOT
78,2249,NONE,GLOV
79,2250,NONE,SHOU
80,2306,NONE,BELT
81,2307,NONE,BODY
82,2308,NONE,BOOT
83,2309,NONE,GLOV
84,2310,NONE,SHOU
85,2366,NONE,BELT
86,2367,NONE,BODY
87,2368,NONE,BOOT
88,2369,NONE,GLOV
89,2370,NONE,SHOU
90,2426,NONE,BELT
91,2427,NONE,BODY
92,2428,NONE,BOOT
93,2429,NONE,GLOV
94,2430,NONE,SHOU
95,1011,NONE,RGHT
96,1028,NONE,RGHT
97,1068,NONE,RGHT
98,1069,NONE,RGHT
99,1003,NONE,RGHT
100,1008,NONE,RGHT
101,1079,NONE,RGHT
102,1082,NONE,RGHT
103,1046,NONE,RGHT
104,1047,NONE,RGHT
105,1056,NONE,RGHT
106,1057,NONE,RGHT
107,1093,NONE,RGHT
108,1096,NONE,RGHT
109,1039,NONE,RGHT
110,1076,BOW,RANGE
111,1003,NONE,LEFT
112,1008,NONE,LEFT
113,1046,NONE,LEFT
114,1047,NONE,LEFT
115,1011,NONE,LEFT
116,1028,NONE,LEFT
117,1126,NONE,LEFT
118,2252,NONE,BELT
119,2253,NONE,BODY
120,2254,NONE,BOOT
121,2255,NONE,GLOV
122,2256,NONE,SHOU
123,2257,NONE,HELM
124,2312,NONE,BELT
125,2313,NONE,BODY
126,2314,NONE,BOOT
127,2315,NONE,GLOV
128,2316,NONE,SHOU
129,2317,NONE,HELM
130,2372,NONE,BELT
131,2373,NONE,BODY
132,2374,NONE,BOOT
133,2375,NONE,GLOV
134,2376,NONE,SHOU
135,2377,NONE,HELM
136,2432,NONE,BELT
137,2433,NONE,BODY
138,2434,NONE,BOOT
139,2435,NONE,GLOV
140,2436,NONE,SHOU
141,2437,NONE,HELM
142,1014,NONE,RGHT
143,1029,NONE,RGHT
144,1070,NONE,RGHT
145,1071,NONE,RGHT
146,1007,NONE,RGHT
147,1000,NONE,RGHT
148,1083,NONE,RGHT
149,1084,NONE,RGHT
150,1048,NONE,RGHT
151,1049,NONE,RGHT
152,1058,NONE,RGHT
153,1059,NONE,RGHT
154,1092,NONE,RGHT
155,1100,NONE,RGHT
156,1042,NONE,RGHT
157,1077,BOW,RANGE
158,1007,NONE,LEFT
159,1000,NONE,LEFT
160,1048,NONE,LEFT
161,1049,NONE,LEFT
162,1014,NONE,LEFT
163,1029,NONE,LEFT
164,1131,NONE,LEFT
165,1135,NONE,LEFT
166,2258,NONE,BELT
167,2259,NONE,BODY
168,2260,NONE,BOOT
169,2261,NONE,GLOV
170,2262,NONE,SHOU
171,2263,NONE,HELM
172,2318,NONE,BELT
173,2319,NONE,BODY
174,2320,NONE,BOOT
175,2321,NONE,GLOV
176,2322,NONE,SHOU
177,2323,NONE,HELM
178,2378,NONE,BELT
179,2379,NONE,BODY
180,2380,NONE,BOOT
181,2381,NONE,GLOV
182,2382,NONE,SHOU
183,2383,NONE,HELM
184,2438,NONE,BELT
185,2439,NONE,BODY
186,2440,NONE,BOOT
187,2441,NONE,GLOV
188,2442,NONE,SHOU
189,2443,NONE,HELM
190,1024,NONE,RGHT
191,1027,NONE,RGHT
192,1072,NONE,RGHT
193,1073,NONE,RGHT
194,1001,NONE,RGHT
195,1002,NONE,RGHT
196,1087,NONE,RGHT
197,1089,NONE,RGHT
198,1050,NONE,RGHT
199,1052,NONE,RGHT
200,1060,NONE,RGHT
201,1061,NONE,RGHT
202,1097,NONE,RGHT
203,1098,NONE,RGHT
204,1043,NONE,RGHT
205,1078,BOW,RANGE
206,1001,NONE,LEFT
207,1002,NONE,LEFT
208,1050,NONE,LEFT
209,1052,NONE,LEFT
210,1024,NONE,LEFT
211,1027,NONE,LEFT
212,1116,NONE,LEFT
213,1118,NONE,LEFT
214,1136,NONE,LEFT
215,1139,NONE,LEFT
216,2270,NONE,BELT
217,2271,NONE,BODY
218,2272,NONE,BOOT
219,2273,NONE,GLOV
220,2274,NONE,SHOU
221,2275,NONE,HELM
222,2330,NONE,BELT
223,2331,NONE,BODY
224,2332,NONE,BOOT
225,2333,NONE,GLOV
226,2334,NONE,SHOU
227,2335,NONE,HELM
228,2390,NONE,BELT
229,2391,NONE,BODY
230,2392,NONE,BOOT
231,2393,NONE,GLOV
232,2394,NONE,SHOU
233,2395,NONE,HELM
234,2450,NONE,BELT
235,2451,NONE,BODY
236,2452,NONE,BOOT
237,2453,NONE,GLOV
238,2454,NONE,SHOU
239,2455,NONE,HELM
240,1102,NONE,RGHT
241,1103,NONE,RGHT
242,1104,BOW,RANGE
243,1105,NONE,LEFT
244,1291,NONE,RGHT
245,1141,NONE,RGHT
246,633,NONE,PNTS
247,634,NONE,SHRT
248,1300,NONE,RGHT
249,0,NONE,NONE
250,1150,NONE,RGHT
251,1151,NONE,RGHT
252,1174,NONE,RGHT
253,1175,NONE,RGHT
254,1190,NONE,RGHT
255,1212,NONE,RGHT
256,1213,NONE,RGHT
257,1269,XBOW,RANGE
258,1273,GUN,RANGE
259,1274,GUN,RANGE
260,1279,NONE,LEFT
261,1280,NONE,LEFT
262,1232,NONE,RGHT
263,1233,NONE,RGHT
264,2000,NONE,BELT
265,2001,NONE,BODY
266,2002,NONE,BOOT
267,2003,NONE,GLOV
268,2004,NONE,SHOU
269,2066,NONE,BELT
270,2067,NONE,BODY
271,2068,NONE,BOOT
272,2069,NONE,GLOV
273,2070,NONE,SHOU
274,2126,NONE,BELT
275,2127,NONE,BODY
276,2128,NONE,BOOT
277,2129,NONE,GLOV
278,2130,NONE,SHOU
279,2186,NONE,BELT
280,2187,NONE,BODY
281,2188,NONE,BOOT
282,2189,NONE,GLOV
283,2190,NONE,SHOU
284,1153,NONE,RGHT
285,1158,NONE,RGHT
286,1177,NONE,RGHT
287,1181,NONE,RGHT
288,1191,NONE,RGHT
289,1215,NONE,RGHT
290,1216,NONE,RGHT
291,1270,XBOW,RANGE
292,1275,GUN,RANGE
293,1281,NONE,LEFT
294,1282,NONE,LEFT
295,1234,NONE,RGHT
296,1235,NONE,RGHT
297,2006,NONE,BELT
298,2007,NONE,BODY
299,2008,NONE,BOOT
300,,,
301,1018,SWORD,EITHER
302,1124,ASHLD,LEFT
303,1023,SWORD,EITHER
304,1069,SWORD,LEFT
305,1055,SPEAR,EITHER
306,1075,BOW,RANGE
307,1094,STAFF,RGHT
308,665,NONE,SHRT
309,666,NONE,PNTS
310,647,NONE,SHRT
311,664,NONE,PNTS
312,667,NONE,SHRT
313,668,NONE,PNTS
314,688,NONE,SHRT
315,646,NONE,PNTS
316,547,BOW,RANGE
317,138,ROBE,PNTS
318,1150,AXE,EITHER
319,1279,ASHLD,LEFT
320,1178,HAMMER,EITHER
321,1274,GUN,RANGE
322,1190,HAMMER,RGHT
323,1232,STAFF,RGHT
324,660,NONE,SHRT
325,662,NONE,PNTS
326,661,NONE,BOOT
327,656,NONE,SHRT
328,658,NONE,PNTS
329,657,NONE,BOOT
330,648,NONE,SHRT
331,650,NONE,PNTS
332,649,NONE,BOOT
333,652,NONE,SHRT
334,654,NONE,PNTS
335,653,NONE,BOOT
336,2488,NONE,BELT
337,481,GUN,EITHER
338,159,ROBE,PNTS
339,160,ROBE,SHOU
340,140,ROBE,BELT
341,141,ROBE,BODY
342,142,ROBE,BOOT
343,143,ROBE,GLOV
344,144,ROBE,HELM
345,145,ROBE,PNTS
346,146,ROBE,SHOU
347,168,ROBE,BELT
348,169,ROBE,BODY
349,170,ROBE,BOOT
350,171,ROBE,GLOV
351,172,ROBE,HELM
352,173,ROBE,PNTS
353,174,ROBE,SHOU
354,175,ROBE,BELT
355,176,ROBE,BODY
356,177,ROBE,BOOT
357,178,ROBE,GLOV
358,179,ROBE,HELM
359,180,ROBE,BODY
360,181,ROBE,SHOU
361,182,ROBE,PNTS
362,183,ROBE,SHOU
363,184,ROBE,BELT
364,185,ROBE,BODY
365,186,ROBE,BOOT
366,187,ROBE,GLOV
367,188,ROBE,HELM
368,189,ROBE,PNTS
369,190,ROBE,SHOU
370,191,ROBE,BELT
371,192,ROBE,BODY
372,193,ROBE,BOOT
373,194,ROBE,GLOV
374,195,ROBE,HELM
375,196,ROBE,PNTS
376,197,ROBE,SHOU
377,198,ROBE,BELT
378,199,ROBE,BODY
379,200,ROBE,BOOT
380,201,ROBE,GLOV
381,202,ROBE,HELM
382,203,ROBE,PNTS
383,204,ROBE,SHOU
384,205,ROBE,BELT
385,206,ROBE,BODY
386,207,ROBE,BOOT
387,208,ROBE,GLOV
388,209,ROBE,HELM
389,210,ROBE,PNTS
390,211,ROBE,SHOU
391,212,ROBE,BELT
392,213,ROBE,BODY
393,214,ROBE,BOOT
