Information,,NIF,Effect,Effect List
ID,Textual Name,Name,Scale,ID
1,WORLD OBJ QI_Dw_coffin01,QI_Dw_coffin01,,
2,WORLD OBJ or_roadwall_pillar,or_roadwall_pillar,,
3,WORLD OBJ dw_mine_wallsupport,dw_mine_wallsupport,,
4,WORLD OBJ dw_ropecoil01,dw_ropecoil01,,
5,WORLD OBJ QI_dw_pick,QI_dw_pick,,
6,WORLD OBJ mo_ruins_marsh_smlbrickpile,mo_ruins_marsh_smlbrickpile,,
7,WORLD OBJ dw_dead01_skeleton,dw_dead01_skeleton,,
8,WORLD OBJ qi_mo_powerdevice_gems_red,qi_mo_powerdevice_gems_red,,
9,WORLD OBJ or_banner06,or_banner06,,
10,WORLD OBJ em_crate_01,em_crate_01,,
11,WORLD OBJ or_pile_dung01,or_pile_dung01,,
12,WORLD OBJ or_banner04,or_banner04,,
13,WORLD OBJ qi_em_monument_statue_destroyed,qi_em_monument_statue_destroyed,,
14,WORLD OBJ em_monument_statue,em_monument_statue,,
15,WORLD OBJ em_bucket_01,em_bucket_01,,
16,WORLD OBJ em_chest_01,em_chest_01,,
17,WORLD OBJ dw_gyrocopter_prop,dw_gyrocopter_prop,,
18,WORLD OBJ dw_crate_ammo06,dw_crate_ammo06,,
19,WORLD OBJ dw_roadmarker01_sign02,dw_roadmarker01_sign02,,
20,WORLD OBJ QI_ge_crypt01,QI_ge_crypt01,,
21,WORLD OBJ qi_mo_powerdevice01,qi_mo_powerdevice01,,
22,WORLD OBJ Dw_wall_pallisade01,Dw_wall_pallisade01,,
23,WORLD OBJ or_dwarfpike01,or_dwarfpike01,,
24,WORLD OBJ Qi_dw_Chest01,Qi_dw_Chest01,,
25,WORLD OBJ Qi_Dw_shipVent01,Qi_Dw_shipVent01,,
26,WORLD OBJ dw_anvilofdoom,dw_anvilofdoom,,
27,WORLD OBJ Qi_Dw_Pedestal,Qi_Dw_Pedestal,,
28,WORLD OBJ Qi_DW_ruinedA,Qi_DW_ruinedA,,
29,WORLD OBJ em_brazier_01,em_brazier_01,,
30,WORLD OBJ or_banner01,or_banner01,,
31,DW_Axe_2H_TE_01,DW_Axe_2H_TE_01,,
32,DW_Hammer_2H_TE_01,DW_Hammer_2H_TE_01,,
33,DW_Staff_2H_TE_01,DW_Staff_2H_TE_01,,
34,DW_Axe_1H_TE_01,DW_Axe_1H_TE_01,,
35,DW_Hammer_1H_TE_02,DW_Hammer_1H_TE_02,,
36,WORLD OBJ or_banner02,or_banner02,,
37,WORLD OBJ or_effigy_mork,or_effigy_mork,,
38,WORLD OBJ or_pile_trash01,or_pile_trash01,,
39,WORLD OBJ or_bc_shrub01,or_bc_shrub01,,
40,WORLD OBJ or_banner01_fallen,or_banner01_fallen,,
41,WORLD OBJ Qi_or_Bad_smoothrock,Qi_or_Bad_smoothrock,,
42,WORLD OBJ mo_ruins01,mo_ruins01,,
43,WORLD OBJ dw_prop_anvil01,dw_prop_anvil01,,
44,WORLD OBJ or_bad_smoothrock_03,or_bad_smoothrock_03,,
45,WORLD OBJ Qi_dwarfpike_noDwarf_01,Qi_dwarfpike_noDwarf_01,,
46,WORLD OBJ Qi_Dw_towerdoor01,Qi_Dw_towerdoor01,,
47,DW_Handgun_2H_TE_01,DW_Handgun_2H_TE_01,,
48,DW_Handgun_1H_T4_01,DW_Handgun_1H_T4_01,,
49,WORLD OBJ de_rvr_borderbanner_n,de_rvr_borderbanner_n,,
50,WORLD OBJ or_pallisade01,or_pallisade01,,
51,WORLD OBJ dw_tree_pine01_var00sw,dw_tree_pine01_var00sw,,
52,WORLD OBJ dw_tree_pine01_var02sw,dw_tree_pine01_var02sw,,
53,WORLD OBJ or_bc_rubble01,or_bc_rubble01,,
54,WORLD OBJ dw_strategytable01_openscroll,dw_strategytable01_openscroll,,
55,WORLD OBJ dw_strategytable01_tornscroll,dw_strategytable01_tornscroll,,
56,WORLD OBJ dw_tent01,dw_tent01,,
57,WORLD OBJ dw_table_strategy01,dw_table_strategy01,,
58,WORLD OBJ dw_banner_large_04,dw_banner_large_04,,
59,WORLD OBJ ge_pike_single01,ge_pike_single01,,
60,WORLD OBJ QI_or_sulfurpit_small,QI_or_sulfurpit_small,,
61,WORLD OBJ dw_roadwall_bsi,dw_roadwall_bsi,,
62,WORLD OBJ dw_wall01_brickpile02,dw_wall01_brickpile02,,
63,WORLD OBJ dw_roadwall_boi,dw_roadwall_boi,,
64,WORLD OBJ ge_caveentrance01,ge_caveentrance01,,
65,WORLD OBJ Qi_goldNugL,Qi_goldNugL,,
66,WORLD OBJ dw_prop_chair02,dw_prop_chair02,,
67,WORLD OBJ dw_wall01_brickpile01,dw_wall01_brickpile01,,
68,WORLD OBJ or_prop_bottles01,or_prop_bottles01,,
69,WORLD OBJ dw_brewery_still01,dw_brewery_still01,,
70,WORLD OBJ dw_telescope01,dw_telescope01,,
71,WORLD OBJ dw_train_track02,dw_train_track02,,
72,WORLD OBJ dw_piping_04,dw_piping_04,,
73,WORLD OBJ em_barrel_01,em_barrel_01,,
74,WORLD OBJ em_basket_fish_01,em_basket_fish_01,,
75,WORLD OBJ dw_statue02,dw_statue02,,
76,DW_Spanner_2H_T3_01,DW_Spanner_2H_T3_01,,
