Id,Kind,Key,Label,Properties
ability:1052,ability,1052,Ability 1052,
component:3483,component,3483,Component 3483,
effect:1052,effect,1052,Effect 1052,
effect:369,effect,369,Effect 369,
row:abilities.csv|line=1132;AbilityId=1052,row,abilities.csv|line=1132;AbilityId=1052,abilities.csv line=1132;AbilityId=1052,line_number=1132 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv
row:abilitycomponentexport.bin|record=1974;ComponentId=3483;offset=338515,row,abilitycomponentexport.bin|record=1974;ComponentId=3483;offset=338515,abilitycomponentexport.bin record=1974;ComponentId=3483;offset=338515,byte_offset=338515 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilitycomponentexport.bin
row:abilitydesc.txt|line=1053;EntryId=1052,row,abilitydesc.txt|line=1053;EntryId=1052,abilitydesc.txt line=1053;EntryId=1052,line_number=1053 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt
row:abilityexport.bin|record=1535;AbilityId=1052;offset=299848,row,abilityexport.bin|record=1535;AbilityId=1052;offset=299848,abilityexport.bin record=1535;AbilityId=1052;offset=299848,byte_offset=299848 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin
row:abilitynames.txt|line=1053;EntryId=1052,row,abilitynames.txt|line=1053;EntryId=1052,abilitynames.txt line=1053;EntryId=1052,line_number=1053 | normalized_value=Berserk Counter x5 | raw_value=Berserk Counter x5^n | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt
row:componenteffects.txt|line=3484;EntryId=3483,row,componenteffects.txt|line=3484;EntryId=3483,componenteffects.txt line=3484;EntryId=3483,line_number=3484 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\componenteffects.txt
row:effects.csv|line=1115;EffectId=1052,row,effects.csv|line=1115;EffectId=1052,effects.csv line=1115;EffectId=1052,line_number=1115 | source_path=C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\effects.csv
