Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:7,Ability:353,ApCost,ActionPoints,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=1236;AbilityId=353;offset=240819,0,240819,ApCost,client_bin,abilityexport.bin
claim:8,Ability:353,CareerLine,CareerLineId,21,21,21,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=1236;AbilityId=353;offset=240819,0,240819,CareerLine,client_bin,abilityexport.bin
claim:4,Ability:353,CastTime,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=1236;AbilityId=353;offset=240819,0,240819,CastTime,client_bin,abilityexport.bin
claim:5,Ability:353,Cooldown,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=1236;AbilityId=353;offset=240819,0,240819,Cooldown,client_bin,abilityexport.bin
claim:20,Ability:353,Description,AbilityDescription,,,,client_strings,abilitydesc.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitydesc.txt,line=354;EntryId=353,354,0,value,localized_string,abilitydesc.txt
claim:3,Ability:353,EffectId,EffectId,2476,2476,2476,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=1236;AbilityId=353;offset=240819,0,240819,EffectId,client_bin,abilityexport.bin
claim:2,Ability:353,EffectId,EffectId,353,353,353,client_csv,abilities.csv,C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv,line=410;AbilityId=353,410,0,Effect,client_contract,abilities.csv
claim:1,Ability:353,Name,AbilityName,Fury Of Ages,Fury Of Ages,Fury Of Ages,client_csv,abilities.csv,C:\Users\Admin\Pictures\WAR_extracted\data\gamedata\abilities.csv,line=410;AbilityId=353,410,0,name,client_contract,abilities.csv
claim:19,Ability:353,Name,AbilityName,Hatred x 5,Hatred x 5^n,Hatred x 5,client_strings,abilitynames.txt,C:\Users\Admin\Pictures\WAR_extracted\data\strings\english\abilitynames.txt,line=354;EntryId=353,354,0,value,localized_string,abilitynames.txt
claim:6,Ability:353,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Pictures\WAR_extracted\data\bin\abilityexport.bin,record=1236;AbilityId=353;offset=240819,0,240819,Range,client_bin,abilityexport.bin
