Id,Kind,FromNodeId,ToNodeId,Label,ClaimId
edge:1,declared_by,ability:9323,row:abilityexport.bin|record=6548;AbilityId=9323;offset=1312465,abilityexport.bin,
edge:24,declared_by,component:12347,row:abilitycomponentexport.bin|record=5863;ComponentId=12347;offset=1026296,abilitycomponentexport.bin,
edge:25,declared_by,component:12750,row:abilitycomponentexport.bin|record=6256;ComponentId=12750;offset=1095659,abilitycomponentexport.bin,
edge:26,declared_by,component:12751,row:abilitycomponentexport.bin|record=6257;ComponentId=12751;offset=1095825,abilitycomponentexport.bin,
edge:27,declared_by,component:12752,row:abilitycomponentexport.bin|record=6258;ComponentId=12752;offset=1095991,abilitycomponentexport.bin,
edge:28,declared_by,component:12753,row:abilitycomponentexport.bin|record=6259;ComponentId=12753;offset=1096157,abilitycomponentexport.bin,
edge:7,declared_by,effect:12,row:effects.csv|line=17;EffectId=12,effects.csv,
edge:12,declared_by,effect:1329,row:effects.csv|line=1398;EffectId=1329,effects.csv,
edge:15,declared_by,effect:1330,row:effects.csv|line=1399;EffectId=1330,effects.csv,
edge:18,declared_by,effect:2110,row:effects.csv|line=2181;EffectId=2110,effects.csv,
edge:19,declared_by,effect:2253,row:effects.csv|line=2330;EffectId=2253,effects.csv,
edge:22,declared_by,effect:2459,row:effects.csv|line=2546;EffectId=2459,effects.csv,
edge:9,declared_by,effect:57,row:effects.csv|line=70;EffectId=57,effects.csv,
edge:11,declared_by,effect:630,row:effects.csv|line=691;EffectId=630,effects.csv,
edge:10,declared_by,effect:92,row:effects.csv|line=107;EffectId=92,effects.csv,
edge:29,declared_by,requirement:9365,row:abilityrequirementexport.bin|record=364;RequirementId=9365;offset=35648,abilityrequirementexport.bin,
edge:30,declared_by,requirement:9375,row:abilityrequirementexport.bin|record=374;RequirementId=9375;offset=36667,abilityrequirementexport.bin,
edge:31,declared_by,requirement:9385,row:abilityrequirementexport.bin|record=384;RequirementId=9385;offset=37653,abilityrequirementexport.bin,
edge:32,declared_by,requirement:9395,row:abilityrequirementexport.bin|record=394;RequirementId=9395;offset=38672,abilityrequirementexport.bin,
edge:33,declared_by,requirement:9398,row:abilityrequirementexport.bin|record=397;RequirementId=9398;offset=39047,abilityrequirementexport.bin,
edge:34,declared_by,requirement:9399,row:abilityrequirementexport.bin|record=398;RequirementId=9399;offset=39172,abilityrequirementexport.bin,
edge:35,declared_by,requirement:9400,row:abilityrequirementexport.bin|record=399;RequirementId=9400;offset=39264,abilityrequirementexport.bin,
edge:36,declared_by,requirement:9401,row:abilityrequirementexport.bin|record=400;RequirementId=9401;offset=39356,abilityrequirementexport.bin,
edge:37,declared_by,requirement:9402,row:abilityrequirementexport.bin|record=401;RequirementId=9402;offset=39448,abilityrequirementexport.bin,
edge:38,declared_by,requirement:9620,row:abilityrequirementexport.bin|record=556;RequirementId=9620;offset=53378,abilityrequirementexport.bin,
edge:39,declared_by,requirement:9621,row:abilityrequirementexport.bin|record=557;RequirementId=9621;offset=53470,abilityrequirementexport.bin,
edge:40,declared_by,requirement:9622,row:abilityrequirementexport.bin|record=558;RequirementId=9622;offset=53562,abilityrequirementexport.bin,
edge:41,declared_by,requirement:9623,row:abilityrequirementexport.bin|record=559;RequirementId=9623;offset=53654,abilityrequirementexport.bin,
edge:42,declared_by,requirement:9624,row:abilityrequirementexport.bin|record=560;RequirementId=9624;offset=53746,abilityrequirementexport.bin,
edge:43,declared_by,requirement:9625,row:abilityrequirementexport.bin|record=561;RequirementId=9625;offset=53838,abilityrequirementexport.bin,
edge:8,linked_effect,effect:12,effect:2253,Projectile,claim:8
edge:14,linked_effect,effect:1329,effect:630,Impact,claim:14
edge:13,linked_effect,effect:1329,effect:92,Cast,claim:13
edge:17,linked_effect,effect:1330,effect:2110,Cast,claim:17
edge:16,linked_effect,effect:1330,effect:57,Build Up,claim:16
edge:21,linked_effect,effect:2253,effect:1329,Impact,claim:21
edge:20,linked_effect,effect:2253,effect:1330,Activate,claim:20
edge:23,linked_effect,effect:2459,effect:12,Impact,claim:23
edge:61,localized_component_description,component:12347,row:componenteffects.txt|line=12348;EntryId=12347,componenteffects.txt,claim:76
edge:62,localized_component_description,component:12750,row:componenteffects.txt|line=12751;EntryId=12750,componenteffects.txt,claim:77
edge:63,localized_component_description,component:12751,row:componenteffects.txt|line=12752;EntryId=12751,componenteffects.txt,claim:78
edge:64,localized_component_description,component:12752,row:componenteffects.txt|line=12753;EntryId=12752,componenteffects.txt,claim:79
edge:65,localized_component_description,component:12753,row:componenteffects.txt|line=12754;EntryId=12753,componenteffects.txt,claim:80
edge:60,localized_description,ability:9323,row:abilitydesc.txt|line=9324;EntryId=9323,abilitydesc.txt,claim:75
edge:59,localized_name,ability:9323,row:abilitynames.txt|line=9324;EntryId=9323,abilitynames.txt,claim:74
edge:44,requires,ability:9323,requirement:9365,ExtData[1].Val6,claim:59
edge:46,requires,component:12347,requirement:9622,ExtData[7].Val6,claim:61
edge:45,requires,component:12347,requirement:9625,ExtData[6].Val6,claim:60
edge:47,requires,component:12750,requirement:9399,ExtData[0].Val6,claim:62
edge:48,requires,component:12751,requirement:9400,ExtData[0].Val6,claim:63
edge:49,requires,component:12752,requirement:9401,ExtData[0].Val6,claim:64
edge:50,requires,component:12753,requirement:9402,ExtData[0].Val6,claim:65
edge:51,requires,requirement:9365,requirement:9375,ExtData[0].Val6,claim:66
edge:52,requires,requirement:9365,requirement:9385,ExtData[1].Val6,claim:67
edge:53,requires,requirement:9365,requirement:9395,ExtData[2].Val6,claim:68
edge:54,requires,requirement:9365,requirement:9398,ExtData[3].Val6,claim:69
edge:55,requires,requirement:9622,requirement:9620,ExtData[0].Val6,claim:70
edge:56,requires,requirement:9622,requirement:9621,ExtData[1].Val6,claim:71
edge:57,requires,requirement:9625,requirement:9623,ExtData[0].Val6,claim:72
edge:58,requires,requirement:9625,requirement:9624,ExtData[1].Val6,claim:73
edge:3,uses_component,ability:9323,component:12347,abilityexport.bin,
edge:2,uses_component,ability:9323,component:12750,abilityexport.bin,
edge:4,uses_component,ability:9323,component:12751,abilityexport.bin,
edge:5,uses_component,ability:9323,component:12752,abilityexport.bin,
edge:6,uses_component,ability:9323,component:12753,abilityexport.bin,
