AbilityId,Name,CoverageStatus,EffectId,HasClientCsv,HasClientBin,HasLocalizedName,HasDescriptionText,HasEffectText,HasRootEffectRow,RelatedEffectCount,ComponentCount,RequirementLinkCount,RequirementRowCount,HasPregameReference,SourcesText,MissingText
0,(unnamed),StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
1,Ard Noggin,MappedWithRequirements,1,Yes,Yes,Yes,Yes,No,Yes,2,3,6,6,No,"csv, bin, strings, requirements",effect-text
2,Big Claw,MappedWithRequirements,2,Yes,Yes,Yes,Yes,No,Yes,2,2,6,6,No,"csv, bin, strings, requirements",effect-text
3,Bounce,MappedWithRequirements,3,Yes,Yes,Yes,Yes,No,Yes,42,4,6,6,No,"csv, bin, strings, requirements",effect-text
4,(unnamed),Partial,4,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
5,KABOOM!,Mapped,5,Yes,Yes,Yes,Yes,No,Yes,1,7,0,0,No,"csv, bin, strings",effect-text
6,;/end,MappedWithRequirements,6,Yes,Yes,Yes,Yes,No,Yes,3,3,1,1,No,"csv, bin, strings, requirements",effect-text
7,Death From Above,Mapped,7,Yes,Yes,Yes,Yes,No,Yes,9,2,0,0,No,"csv, bin, strings",effect-text
8,Spine Fling,Mapped,8,Yes,Yes,Yes,Yes,No,Yes,55,2,0,0,No,"csv, bin, strings",effect-text
9,Poisoned Spine,Mapped,9,Yes,Yes,Yes,Yes,No,Yes,51,2,0,0,No,"csv, bin, strings",effect-text
10,Gore,Mapped,10,Yes,Yes,Yes,Yes,No,Yes,12,3,0,0,No,"csv, bin, strings",effect-text
11,Head Butt,Mapped,11,Yes,Yes,Yes,Yes,No,Yes,17,1,0,0,No,"csv, bin, strings",effect-text
12,Goop Shootin',MappedWithRequirements,12,Yes,Yes,Yes,Yes,No,Yes,18,4,2,1,No,"csv, bin, strings, requirements",effect-text
13,Spore Cloud,Mapped,13,Yes,Yes,Yes,Yes,No,Yes,13,2,0,0,No,"csv, bin, strings",effect-text
14,Gas Squig Autoattack,Mapped,14,Yes,Yes,Yes,Yes,No,Yes,46,6,0,0,No,"csv, bin, strings",effect-text
15,Spiked Squig Autoattack,Mapped,15,Yes,Yes,Yes,Yes,No,Yes,45,2,0,0,No,"csv, bin, strings",effect-text
16,Farty Squig Sub,Mapped,16,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
17,Bad Breath Sub,Mapped,17,Yes,Yes,Yes,Yes,No,Yes,4,6,0,0,No,"csv, bin, strings",effect-text
18,Squig Squeal,Mapped,18,Yes,Yes,Yes,Yes,No,Yes,6,6,0,0,No,"csv, bin, strings",effect-text
19,Git Em!,Mapped,19,Yes,Yes,Yes,Yes,Yes,Yes,4,1,0,0,No,"csv, bin, strings",(none)
20,Chow Time!,Partial,20,Yes,No,Yes,Yes,Yes,Yes,1,0,0,0,No,"csv, strings","bin, components"
21,Penetrating Round,Mapped,21,Yes,Yes,Yes,Yes,Yes,Yes,6,2,0,0,No,"csv, bin, strings",(none)
22,Machine Gun,Mapped,22,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
23,Gun Turret GFXMOD Autoattack Override,Mapped,23,Yes,Yes,Yes,Yes,Yes,Yes,6,7,0,0,No,"csv, bin, strings",(none)
24,Cannon Shot,Mapped,24,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
25,High-Explosive Grenade,Mapped,25,Yes,Yes,Yes,Yes,Yes,Yes,4,2,0,0,No,"csv, bin, strings",(none)
26, Bomb Turret GFXMOD Autoattack Override,Mapped,26,Yes,Yes,Yes,Yes,Yes,Yes,5,6,0,0,No,"csv, bin, strings",(none)
27,Flamethrower,Mapped,27,Yes,Yes,Yes,Yes,Yes,Yes,3,2,0,0,No,"csv, bin, strings",(none)
28,Steam Vent,Mapped,28,Yes,Yes,Yes,Yes,Yes,Yes,3,2,0,0,No,"csv, bin, strings",(none)
29,Flame Turret GFXMOD Autoattack Override,Mapped,29,Yes,Yes,Yes,Yes,Yes,Yes,4,6,0,0,No,"csv, bin, strings",(none)
30,Arming,Mapped,30,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
31,Detonation,Mapped,31,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,0,No,"csv, bin, strings",(none)
32,Bugman's Brew,Mapped,32,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
33,"TEST MOUNT Icon, can delete",Mapped,33,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
34,Bite,Mapped,34,Yes,Yes,Yes,Yes,No,Yes,3,3,0,0,No,"csv, bin, strings",effect-text
35,Claw Sweep,Mapped,35,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
36,Terrifying Roar,Partial,36,Yes,No,Yes,Yes,No,Yes,2,0,0,0,No,"csv, strings","bin, effect-text, components"
37,Lion's Roar,Mapped,37,Yes,Yes,Yes,Yes,No,Yes,3,3,0,0,No,"csv, bin, strings",effect-text
38,Shred,Mapped,38,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
39,Leg Tear,Partial,39,Yes,No,Yes,Yes,No,Yes,2,0,0,0,No,"csv, strings","bin, effect-text, components"
40,Fang And Claw,Partial,40,Yes,No,Yes,Yes,No,Yes,2,0,0,0,No,"csv, strings","bin, effect-text, components"
41,Maul,Mapped,41,Yes,Yes,Yes,Yes,No,Yes,18,1,0,0,No,"csv, bin, strings",effect-text
42,Gut Ripper ,Mapped,42,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
43,Terrifying Roar,Mapped,43,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
44,Demonic Fire,Mapped,44,Yes,Yes,Yes,Yes,No,Yes,8,5,0,0,No,"csv, bin, strings",effect-text
45,Demonic Consumption,Mapped,45,Yes,Yes,Yes,Yes,No,Yes,4,2,0,0,No,"csv, bin, strings",effect-text
46,Warping Energy,Mapped,46,Yes,Yes,Yes,Yes,No,Yes,8,2,0,0,No,"csv, bin, strings",effect-text
47,Courscating energy,Mapped,47,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
48,Flame Of Tzeentch,Mapped,48,Yes,Yes,Yes,Yes,No,Yes,20,1,0,0,No,"csv, bin, strings",effect-text
49,Flames Of Change,Mapped,49,Yes,Yes,Yes,Yes,No,Yes,5,2,0,0,No,"csv, bin, strings",effect-text
50,Focused Offense,Partial,50,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
