RequirementId,FieldKey,NonZeroCount,DistinctValueCount,SampleValues,SemanticSummary,Confidence,Notes
9002,ExtData[0].Val1,1,1,1,,Unknown,
9002,ExtData[0].Val2,1,1,19,,Unknown,
9002,ExtData[0].Val3,1,1,1,,Unknown,
9002,ExtData[0].Val4,1,1,9,,Unknown,
9002,ExtData[0].Val7,1,1,2,,Unknown,
9002,ExtData[1].Val1,1,1,1,,Unknown,
9002,ExtData[1].Val2,1,1,19,,Unknown,
9002,ExtData[1].Val3,1,1,1,,Unknown,
9002,ExtData[1].Val7,1,1,3,,Unknown,
9003,ExtData[0].Val1,1,1,1,,Unknown,
9003,ExtData[0].Val2,1,1,47,,Unknown,
9003,ExtData[0].Val3,1,1,6,,Unknown,
9003,ExtData[0].Val9,1,1,1,,Unknown,
9004,ExtData[0].Val1,1,1,1,,Unknown,
9004,ExtData[0].Val2,1,1,9,,Unknown,
9004,ExtData[0].Val3,1,1,4,,Unknown,
9004,ExtData[0].Val4,1,1,8,,Unknown,
9004,ExtData[0].Val6,1,1,100,,Unknown,
9004,ExtData[0].Val7,1,1,99,,Unknown,
9004,ExtData[1].Val1,1,1,1,,Unknown,
9004,ExtData[1].Val2,1,1,12,,Unknown,
9004,ExtData[1].Val3,1,1,1,,Unknown,
9004,ExtData[1].Val7,1,1,2,,Unknown,
9004,ExtData[1].Val9,1,1,1,,Unknown,
9005,ExtData[0].Val1,1,1,1,,Unknown,
9005,ExtData[0].Val2,1,1,9,,Unknown,
9005,ExtData[0].Val3,1,1,4,,Unknown,
9005,ExtData[0].Val4,1,1,8,,Unknown,
9005,ExtData[0].Val6,1,1,100,,Unknown,
9005,ExtData[0].Val7,1,1,21,,Unknown,
9005,ExtData[1].Val1,1,1,1,,Unknown,
9005,ExtData[1].Val2,1,1,12,,Unknown,
9005,ExtData[1].Val3,1,1,1,,Unknown,
9005,ExtData[1].Val7,1,1,1,,Unknown,
9006,ExtData[0].Val1,1,1,1,,Unknown,
9006,ExtData[0].Val2,1,1,9,,Unknown,
9006,ExtData[0].Val3,1,1,4,,Unknown,
9006,ExtData[0].Val4,1,1,8,,Unknown,
9006,ExtData[0].Val6,1,1,100,,Unknown,
9006,ExtData[0].Val7,1,1,6,,Unknown,
9006,ExtData[1].Val1,1,1,1,,Unknown,
